Date,Rank,Country,Image,Player,Points
2017-09-18,1,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Rafael Nadal,9465
2017-09-18,2,SUI,https://www.atptour.com/en/~/media/images/flags/sui.svg,Roger Federer,7505
2017-09-18,3,GBR,https://www.atptour.com/en/~/media/images/flags/gbr.svg,Andy Murray,6790
2017-09-18,4,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Alexander Zverev,4470
2017-09-18,5,CRO,https://www.atptour.com/en/~/media/images/flags/cro.svg,Marin Cilic,4155
2017-09-18,6,SRB,https://www.atptour.com/en/~/media/images/flags/srb.svg,Novak Djokovic,4125
2017-09-18,7,AUT,https://www.atptour.com/en/~/media/images/flags/aut.svg,Dominic Thiem,4030
2017-09-18,8,SUI,https://www.atptour.com/en/~/media/images/flags/sui.svg,Stan Wawrinka,3690
2017-09-18,9,BUL,https://www.atptour.com/en/~/media/images/flags/bul.svg,Grigor Dimitrov,3575
2017-09-18,10,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Pablo Carreno Busta,2855
2017-09-18,11,CAN,https://www.atptour.com/en/~/media/images/flags/can.svg,Milos Raonic,2825
2017-09-18,12,BEL,https://www.atptour.com/en/~/media/images/flags/bel.svg,David Goffin,2695
2017-09-18,13,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Roberto Bautista Agut,2525
2017-09-18,14,JPN,https://www.atptour.com/en/~/media/images/flags/jpn.svg,Kei Nishikori,2475
2017-09-18,15,RSA,https://www.atptour.com/en/~/media/images/flags/rsa.svg,Kevin Anderson,2470
2017-09-18,16,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Sam Querrey,2445
2017-09-18,17,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,John Isner,2425
2017-09-18,18,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Jo-Wilfried Tsonga,2375
2017-09-18,19,CZE,https://www.atptour.com/en/~/media/images/flags/cze.svg,Tomas Berdych,2355
2017-09-18,20,AUS,https://www.atptour.com/en/~/media/images/flags/aus.svg,Nick Kyrgios,2245
2017-09-18,21,USA,https://www.atptour.com/en/~/media/images/flags/usa.svg,Jack Sock,2175
2017-09-18,22,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Lucas Pouille,2030
2017-09-18,23,LUX,https://www.atptour.com/en/~/media/images/flags/lux.svg,Gilles Muller,1920
2017-09-18,24,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Juan Martin del Potro,1820
2017-09-18,25,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Albert Ramos-Vinolas,1815
2017-09-18,26,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,David Ferrer,1615
2017-09-18,27,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Mischa Zverev,1594
2017-09-18,28,ARG,https://www.atptour.com/en/~/media/images/flags/arg.svg,Diego Schwartzman,1585
2017-09-18,29,ITA,https://www.atptour.com/en/~/media/images/flags/ita.svg,Fabio Fognini,1545
2017-09-18,30,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Richard Gasquet,1470
2017-09-18,31,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Adrian Mannarino,1335
2017-09-18,32,RUS,https://www.atptour.com/en/~/media/images/flags/rus.svg,Karen Khachanov,1330
2017-09-18,33,URU,https://www.atptour.com/en/~/media/images/flags/uru.svg,Pablo Cuevas,1325
2017-09-18,34,GER,https://www.atptour.com/en/~/media/images/flags/ger.svg,Philipp Kohlschreiber,1305
2017-09-18,35,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Feliciano Lopez,1295
2017-09-18,36,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Gael Monfils,1285
2017-09-18,37,RUS,https://www.atptour.com/en/~/media/images/flags/rus.svg,Andrey Rublev,1233
2017-09-18,38,ITA,https://www.atptour.com/en/~/media/images/flags/ita.svg,Paolo Lorenzi,1190
2017-09-18,39,NED,https://www.atptour.com/en/~/media/images/flags/ned.svg,Robin Haase,1165
2017-09-18,40,ESP,https://www.atptour.com/en/~/media/images/flags/esp.svg,Fernando Verdasco,1115
2017-09-18,41,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Benoit Paire,1085
2017-09-18,42,JPN,https://www.atptour.com/en/~/media/images/flags/jpn.svg,Yuichi Sugita,1082
2017-09-18,43,FRA,https://www.atptour.com/en/~/media/images/flags/fra.svg,Gilles Simon,1075
