Player,Weight (kg),Height (cm),Birthday,Year Turned Pro,Right-Left-Handed,Two-One-Backhanded,Matches,Wins,Losses,Winning Ratio,Ace (%),Double Fault (%),1st Serve In (%),1st Serve Win (%),2nd Serve Win (%),Total Points Win (%),Return Points Win (%),Dominant Rate
Roger Federer,85.0,185.0,1981-08-08,1998,1,0,1581,1289,292,0.8153067678684377,10.287311385459526,2.3772290809327874,62.25075445816181,78.07071330589858,58.40068587105617,54.962551440329236,40.50390946502058,1.4918518518518546
Rafael Nadal,85.0,185.0,1986-06-03,2001,0,1,1407,1159,248,0.8237384506041222,4.453642914331474,2.2795036028823064,67.81457165732581,73.21729383506803,58.022017614091276,55.39375500400324,43.42674139311449,1.495228182546036
Paolo Lorenzi,78.0,183.0,1981-12-15,2003,1,1,1336,713,623,0.5336826347305389,5.146517739816037,3.5035479632063113,58.57660972404735,70.07752956636007,50.66806833114329,50.44888304862023,39.110643889618935,1.1137976346911953
Novak Djokovic,77.0,188.0,1987-05-22,2003,1,1,1333,1109,224,0.8319579894973743,7.5470489038785855,2.91930860033727,65.04274873524442,74.82993254637427,56.77571669477232,55.39198988195618,43.07841483979772,1.4860455311973022
Feliciano Lopez,88.0,188.0,1981-09-20,1997,0,0,1270,655,615,0.515748031496063,12.782741617356985,4.287080867850102,58.272090729783024,76.17297830374746,51.45281342546895,49.41883629191321,32.76785009861931,1.0449605522682444
Tommy Robredo,75.0,180.0,1982-05-01,1998,1,0,1198,713,485,0.5951585976627712,4.660323501427214,3.1479543292102816,64.36679352997146,69.40960989533772,52.06812559467178,50.92825880114182,39.0335870599429,1.1618173168411048
Fernando Verdasco,90.0,188.0,1983-11-15,2001,0,1,1232,698,534,0.5665584415584416,6.715260663507106,4.842559241706166,67.13184834123219,70.8926066350712,51.586161137440754,51.18928909952611,38.357156398104344,1.1699715639810442
Andreas Seppi,78.0,191.0,1984-02-21,2002,1,1,1202,625,577,0.5199667221297837,6.402127659574478,3.4578723404255345,58.00680851063831,70.84606382978716,50.630744680851095,50.02617021276599,37.836914893616985,1.0806382978723397
Teymuraz Gabashvili,87.0,185.0,1985-05-23,2001,1,1,1195,627,568,0.5246861924686193,5.463231552162855,5.289312977099239,58.33167938931304,71.11475826972011,48.96145038167938,49.90584498094021,38.156162642947876,1.111969504447269
Gilles Simon,70.0,183.0,1984-12-27,2002,1,1,1162,661,501,0.5688468158347676,5.328495762711865,2.958686440677973,57.524788135593305,69.32669491525422,51.27923728813559,50.65296610169484,39.685169491525436,1.110497881355932
Philipp Kohlschreiber,70.0,178.0,1983-10-16,2001,1,0,1130,634,496,0.5610619469026549,7.380337078651692,2.736741573033712,60.36033707865163,72.46415730337073,54.56067415730337,51.183820224719135,37.511011235955024,1.182640449438204
Sergiy Stakhovsky,80.0,193.0,1986-01-06,2003,1,0,1117,584,533,0.5228290062667861,9.037157757496749,3.3153846153846183,61.937027379400256,73.08604954367657,50.38670143415903,50.30821382007828,36.343807040417175,1.1155541069100383
Ivo Karlovic,104.0,211.0,1979-02-28,2000,1,0,1105,606,499,0.5484162895927602,23.504804045512003,4.220101137800261,65.07168141592912,82.69785082174464,53.947155499367845,50.314159292035335,28.228571428571396,1.1555752212389399
Go Soeda,73.0,178.0,1984-09-05,2003,1,1,1118,642,476,0.5742397137745975,5.014825581395349,3.2729651162790656,58.3550872093023,69.96831395348836,52.775581395348794,50.86206395348835,39.25886627906978,1.1591133720930236
Lukas Rosol,83.0,193.0,1985-07-24,2004,1,1,1135,626,509,0.5515418502202644,7.627509778357246,4.220990873533243,59.892568448500704,72.61473272490223,50.140677966101705,50.050977835723614,36.44393741851365,1.0782529335071707
Richard Gasquet,79.0,183.0,1986-06-18,2002,1,0,1129,709,420,0.6279893711248893,7.253806584362148,3.1989711934156384,61.34557613168717,73.43991769547323,53.55061728395064,51.94825102880663,38.48024691358031,1.2454115226337459
Guillermo Garcia Lopez,80.0,185.0,1983-06-04,2002,1,0,1097,568,529,0.5177757520510483,4.470320197044331,5.059852216748772,58.64950738916251,69.3703201970444,49.23903940886697,49.62204433497536,38.196059113300535,1.0646428571428557
Yen Hsun Lu,74.0,180.0,1983-08-14,2001,1,1,1077,652,425,0.6053853296193129,6.5932088285229185,4.281154499151103,61.09999999999995,72.50984719864184,53.178947368421014,51.36451612903232,38.307979626485505,1.2840237691001706
Denis Istomin,86.0,185.0,1986-09-07,2004,1,1,1064,558,506,0.5244360902255639,8.325925925925933,2.4433470507544595,65.38587105624137,71.39835390946499,51.35349794238679,50.08792866941014,35.77777777777779,1.1128257887517152
Daniel Gimeno Traver,80.0,183.0,1985-08-07,2004,1,1,1058,589,469,0.556710775047259,5.796214511041011,4.467034700315454,58.720662460567794,70.26955835962147,50.30504731861196,50.34179810725554,39.02712933753944,1.1205835962145105
Andy Murray,82.0,191.0,1987-05-15,2005,1,1,1069,804,265,0.7521047708138447,8.988210075026789,3.2625937834941054,58.27181136120045,75.09281886388001,52.63654876741692,53.58885316184357,42.08102893890674,1.322775991425509
Adrian Mannarino,79.0,180.0,1988-06-29,2004,0,1,1071,597,474,0.5574229691876751,6.651763224181364,3.315491183879096,60.32921914357674,71.05075566750625,52.34433249370273,50.671410579345135,38.0051637279597,1.1610957178841321
Roberto Bautista Agut,75.0,183.0,1988-04-14,2005,1,1,1061,665,396,0.6267672007540056,4.0748062015503885,2.5732558139534873,65.39806201550384,70.32997416020676,54.666925064599496,52.27997416020673,40.117312661498694,1.2398966408268735
Andrea Arnaboldi,72.0,180.0,1987-12-27,2006,0,0,1040,501,539,0.48173076923076924,4.4012638230647685,3.4350710900473955,60.12906793048963,67.87519747235383,51.89494470774092,49.196524486571846,36.43522906793046,1.0145971563981049
Aldin Setkic,86.0,191.0,1987-12-21,,1,1,1047,630,417,0.6017191977077364,6.812784090909093,5.171590909090911,64.68238636363637,69.45454545454544,48.81732954545455,49.08238636363635,35.56363636363637,1.0321022727272728
Nicolas Mahut,82.0,191.0,1982-01-21,2000,1,0,1023,568,455,0.555229716520039,9.84519230769231,4.265865384615379,61.43589743589738,74.37916666666665,51.17227564102565,50.2799679487179,35.26987179487175,1.1164743589743584
Fabio Fognini,79.0,178.0,1987-05-24,2004,1,1,1048,584,464,0.5572519083969466,3.995663265306117,4.997576530612244,59.267984693877615,67.55382653061227,48.53864795918363,49.511862244897934,39.088137755102046,1.0368622448979594
Lukas Lacko,87.0,188.0,1987-11-03,2005,1,1,1026,569,457,0.5545808966861598,9.300748502994024,3.1440119760479037,60.00059880239521,73.42874251497003,52.14865269461078,50.45464071856285,36.136976047904184,1.1610029940119764
Yannick Mertens,71.0,185.0,1987-06-25,2006,1,1,1033,611,422,0.5914811229428848,3.8461016949152538,3.8742372881355975,63.242711864406765,66.49593220338978,49.064406779661,48.53864406779658,36.9731292517007,1.0325423728813554
Malek Jaziri,83.0,185.0,1984-01-20,2003,1,1,1032,546,486,0.5290697674418605,5.377760736196318,3.7570552147239256,54.130521472392594,70.28941717791415,50.01564417177907,49.17929447852754,37.038709677419355,1.0426840490797544
Jaroslav Pospisil,75.0,175.0,1981-02-09,,1,1,1019,601,418,0.5897939156035329,4.96863636363636,5.509090909090908,55.84727272727272,68.33045454545457,48.190909090909074,50.04499999999999,40.49227272727273,1.0657272727272733
Matteo Viola,80.0,185.0,1987-07-07,2004,1,1,1012,534,478,0.5276679841897233,2.172612612612613,5.6576576576576585,64.94288288288286,63.20756756756755,46.34108108108105,49.51495495495496,41.63387387387391,1.0412432432432428
Adrian Menendez Maceiras,75.0,183.0,1985-10-28,2005,1,1,1026,549,477,0.5350877192982456,6.125160256410261,2.782051282051284,60.97676282051283,69.9608974358975,51.40512820512823,50.25544871794869,37.92628205128205,1.1094391025641015
Stan Wawrinka,81.0,183.0,1985-03-28,2002,1,0,1022,652,370,0.6379647749510763,8.804518430439956,3.105112960761004,57.844114149821635,74.21557669441142,54.4096313912009,51.5936979785969,37.589298454221165,1.178085612366231
Dudi Sela,65.0,175.0,1985-04-04,2002,1,0,1003,594,409,0.5922233300099701,3.267993366500827,3.89004975124378,60.55754560530675,68.44577114427864,52.49270315091209,51.297014925373105,40.81558872305139,1.2045273631840794
Marin Cilic,89.0,198.0,1988-09-28,2005,1,1,1014,652,362,0.6429980276134122,11.774057142857163,3.6461714285714333,56.9413714285714,77.20937142857152,52.932800000000015,52.11542857142854,37.920114285714334,1.2455428571428568
Dustin Brown,78.0,196.0,1984-12-08,2002,1,1,991,543,448,0.5479313824419778,11.194308943089425,5.555934959349592,59.60260162601626,74.8242671009772,49.543577235772354,49.86260162601622,34.930081300813,1.0628292682926825
Matthias Bachinger,86.0,188.0,1987-04-02,2005,1,1,990,537,453,0.5424242424242425,9.481818181818202,3.651926040061631,60.09167950693369,73.81525423728809,50.31155624036982,51.50154083204935,38.792295839753464,1.2128351309707242
Marsel Ilhan,80.0,191.0,1987-06-11,2006,1,1,987,580,407,0.5876393110435664,6.631180400890864,2.722717149220489,61.65590200445436,70.89443207126939,50.77305122494437,50.17104677060133,37.39109131403116,1.1194432071269487
