Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-Jun-1965,Wimbledon,5,Grass,Q3,,,0,,,Elsie Spruyt,Chantal Langanay,6-4 2-6 6-3,,,,,,,,,,,,,,
22-Jun-1965,Wimbledon,5,Grass,Q2,,,1,,,Chantal Langanay,C Roberts,7-5 6-3,,,,,,,,,,,,,,
22-Jun-1965,Wimbledon,5,Grass,Q1,,,1,,,Chantal Langanay,Margarita De Zuleta,7-5 6-2,,,,,,,,,,,,,,
31-May-1965,Lugano,3,Clay,R16,,,0,,,Julie Heldman,Chantal Langanay,7-5 6-4,,,,,,,,,,,,,,
17-May-1965,Roland Garros,5,Clay,R64,,,0,,,Maria Teresa Riedl,Chantal Langanay,6-2 6-4,,,,,,,,,,,,,,
24-Apr-1965,Paris,3,Clay,R16,,,0,,,Trish Mcclenaughan,Chantal Langanay,3-6 8-6 6-2,,,,,,,,,,,,,,
24-Apr-1965,Paris,3,Clay,R32,,,1,,,Chantal Langanay,Anne Marie Vissault,6-8 6-2 6-2,,,,,,,,,,,,,,
12-Apr-1965,Monte Carlo Duncan Cup,3,Clay,R16,,,0,,,Julie Heldman,Chantal Langanay,6-0 3-6 6-3,,,,,,,,,,,,,,
5-Apr-1965,Nice,3,Clay,R64,,,0,,,Vlasta Kodesova,Chantal Langanay,6-2 6-1,,,,,,,,,,,,,,
30-Mar-1965,Cannes International,3,Clay,QF,,,0,,,Roberta Beltrame,Chantal Langanay,6-4 6-1,,,,,,,,,,,,,,
30-Mar-1965,Cannes International,3,Clay,R16,,,1,,,Chantal Langanay,Gail Sherriff,8-6 3-6 8-6,,,,,,,,,,,,,,
22-Mar-1965,Menton,3,Clay,R32,,,1,,,Chantal Langanay,Wendy Hall,4-6 6-0 8-6,,,,,,,,,,,,,,
15-Mar-1965,Beaulieu,3,Clay,R16,,,0,,,Mary Habicht,Chantal Langanay,6-3 6-8 6-3,,,,,,,,,,,,,,
3-Oct-1964,Aix-En-Provence Nationals,3,Clay,Q1,,,0,,,Christiane Spinoza,Chantal Langanay,8-6 6-4,,,,,,,,,,,,,,
10-Sep-1964,Paris Second Series,3,,F,,,1,,,Chantal Langanay,Marie Jeanne Dusapt,6-2 6-3,,,,,,,,,,,,,,
10-Sep-1964,Paris Second Series,3,,SF,,,1,,,Chantal Langanay,Michele Mizen,2-6 6-4 8-6,,,,,,,,,,,,,,
17-Aug-1964,Le Touquet 3,3,,F,,,1,,,Chantal Langanay,F Leclerc,6-0 6-1,,,,,,,,,,,,,,
18-Jun-1964,Rouen,3,,F,,,1,,,Chantal Langanay,C Viron,6-0 6-1,,,,,,,,,,,,,,
31-May-1964,Casablanca,3,Clay,QF,,,0,,,Robyn Ebbern,Chantal Langanay,6-2 7-5,,,,,,,,,,,,,,
19-May-1964,Roland Garros,5,Clay,R128,,,0,,,Zsuzsa Kormoczy,Chantal Langanay,6-0 6-1,,,,,,,,,,,,,,
20-Apr-1964,Paris International,3,Clay,R16,,,0,,,Maylis Burel,Chantal Langanay,6-4 6-3,,,,,,,,,,,,,,
20-Apr-1964,Paris International,3,Clay,R32,,,1,,,Chantal Langanay,Evelyne Terras,6-4 6-4,,,,,,,,,,,,,,
28-Sep-1963,Bordeaux,3,Clay,Q2,,,0,,,Irene De Lansalut,Chantal Langanay,7-5 6-4,,,,,,,,,,,,,,
28-Sep-1963,Bordeaux,3,Clay,Q1,,,1,,,Chantal Langanay,Michele Bourbonnais,7-5 6-0,,,,,,,,,,,,,,
19-Sep-1963,Milan Bonfiglio,3,Clay,F,,,0,,,Virginia Wade,Chantal Langanay,6-1 6-4,,,,,,,,,,,,,,
19-Sep-1963,Milan Bonfiglio,3,Clay,SF,,,1,,,Chantal Langanay,Robin Lloyd,6-2 6-1,,,,,,,,,,,,,,
25-Aug-1963,Saint-Gervais-Les-Bains,3,Clay,F,,,0,,,Francoise Durr,Chantal Langanay,11-9 6-3,,,,,,,,,,,,,,
25-Aug-1963,Saint-Gervais-Les-Bains,3,Clay,SF,,,1,,,Chantal Langanay,Alison Rigby,6-2 6-1,,,,,,,,,,,,,,
25-Aug-1963,Saint-Gervais-Les-Bains,3,Clay,QF,,,1,,,Chantal Langanay,Jacqueline Kermina,8-6 6-1,,,,,,,,,,,,,,
17-Aug-1963,Le Touquet U23,3,Clay,F,,,0,,,Anne Marie Larue,Chantal Langanay,8-6 7-5,,,,,,,,,,,,,,
13-Aug-1963,Saint-Lunaire,3,,F,,,1,,,Chantal Langanay,Anne Marie Larue,6-2 6-2,,,,,,,,,,,,,,
13-Aug-1963,Le Touquet 3,3,Clay,SF,,,0,,,Christiane Mercelis,Chantal Langanay,3-6 6-3 6-4,,,,,,,,,,,,,,
28-Jul-1963,Dinard,3,,F,,,0,,,Anne Marie Larue,Chantal Langanay,4-6 6-2 6-2,,,,,,,,,,,,,,
9-Jul-1963,Le Touquet 2,3,Clay,QF,,,0,,,Dorothy Knode,Chantal Langanay,6-2 9-7,,,,,,,,,,,,,,
31-May-1963,Casablanca Consolation,3,Clay,SF,,,0,,,Kaye Dening,Chantal Langanay,7-5 6-4,,,,,,,,,,,,,,
